TITLE,YEAR,RATING,REVIEWS,POPULARITY,CAST,DIRECTOR,GENRE,LANGUAGE
Mumbai Police,2013,7.9,6900,42158,Prithviraj Sukumaran,Roshan Andrews,Thriller,Malayalam
The LunchBox,2013,7.8,56000,8914,Irrfan Khan,Ritesh Batra,Romance,Hindi
Ab Tak Chhappan,2004,7.8,8900,32770,Nana Patekar,Shimit Amin,Action,Hindi
Okkadu,2003,8,9500,72401,Mahesh Babu,Gunasekhar,Action,Telugu
Unnaipol Oruvan,2009,8,5800,55233,Kamal Haasan,Chakri Toleti,Thriller,Tamil
Secret Superstar,2017,7.8,25000,18276,Zaira Wasim,Advait Chandan,Drama,Hindi
Pokiri,2006,7.9,14000,29936,Mahesh Babu,Puri Jagannadh,Action,Telugu
Angamaly Diaries,2017,7.9,6100,17657,Antony Varghese,Lijo Jose Pellissery,Thriller,Malayalam
Thuppakki,2012,8,34000,31745,Joseph Vijay,A.R. Murugadoss,Action,Tamil
Manam,2014,7.9,11000,26326,Akkineni Nageshwara Rao,Vikram K. Kumar,Drama,Telugu
Oopiri,2016,8,5200,37250,Nagarjuna Akkineni,Vamshi Paidipally,Drama,Telugu
Vicky Donor,2012,7.8,43000,28617,Ayushmann Khurrana,Shoojit Sircar,Thriller,Hindi
Ghilli,2004,8.1,14000,52770,Joseph Vijay,Dharani,Action,Tamil
Mother India,1957,7.8,9300,36212,Nargis,Mehboob Khan,Drama,Hindi
RangiTaranga,2015,8.2,14000,43660,Nirup Bhandari,Anup Bhandari,Thriller,Hindi
Veer Zarra,2004,7.8,53000,11894,Shah Rukh Khan,Yash Chopra,Romance,Hindi
Stanley Ka Dabba,2011,7.8,7100,33606,Partho A. Gupte,Amole Gupte,Comedy,Hindi
Mimi,2021,7.9,38000,6094,Kriti Sanon,Rajesh Bhatia,Drama,Hindi
Kaththi,2014,8,27000,26775,Joseph Vijay,A.R. Murugadoss,Action,Tamil
Rock On!!,2008,7.7,22000,46824,Arjun Rampal,Abhishek Kapoor,Drama,Hindi
Udta Punjab,2016,7.7,30000,12077,Shahid Kapoor,Abhishek Chaubey,Drama,Hindi
Nayak: The Real Hero,2001,7.8,16000,60278,Anil Kapoor,S. Shankar,Action,Hindi
Mr. India,1987,7.7,15000,30616,Anil Kapoor,Shekhar Kapur,Biopic,Hindi
Dia,2020,8.1,5800,67903,Kushi,K.S. Ashoka,Romance,Malayalam
Badla,2019,7.8,28000,8405,Amitabh Bachchan,Sujoy Ghosh,Action,Hindi
Happy Days,2007,7.9,5300,47633,Varun Sandesh,Sekhar Kammula,Drama,Telugu
Minnal Murali,2021,7.9,28000,10091,Tovino Thomas,Basil Joseph,SuperHero,Malayalam
Raazi,2018,7.7,30000,12329,Alia Bhatt,Meghna Gulzar,Action,Hindi
Sonchiriya,2019,7.9,12000,34322,Sushant Singh Rajput,Abhishek Chaubey,Action,Hindi
Thulladha Manamum Thullum,1999,8.3,5900,136993,Joseph Vijay,Ezhil,Romance,Tamil
Dasvidaniya,2008,7.8,6400,46085,Vinay Pathak,Shashant Shah,Comedy,Hindi
Aayirathil Oruvan,2010,8,6200,21371,Karthi,K. Selvaraghavan,Action,Tamil
Poove Unakkaga,1996,8.6,6500,104724,Joseph Vijay,Vikraman,Romance,Tamil
Kai Po Che,2013,7.7,37000,20304,Amit Sadh,Abhishek Kapoor,Action,Hindi
Joji,2021,7.8,9700,9991,Fahadh Faasil,Dileesh Pothan,Crime,Malayalam
Goodachari,2018,7.8,10000,11480,Adivi Sesh,Sashi Kiran Tikka,Thriller,Telugu
Ko,2011,7.8,5800,57736,Jiiva,K.V. Anand,Thriller,Tamil
Don,1978,7.7,12000,41006,Amitabh Bachchan,Chandra Barot,Action,Hindi
Aligarh,2015,7.8,7100,21980,Manoj Bajpayee,Hansal Mehta,Drama,Hindi
Ennu Ninte Moideen,2015,8,5300,48712,Prithviraj Sukumaran,R.S. Vimal,Drama,Malayalam
Guru,2007,7.7,24000,19455,Mithun Chakraborty,Mani Ratnam,Drama,Tamil
24,2016,7.9,22000,15150,Suriya,Vikram K. Kumar,Sci-Fi,Tamil
Kapoor and Sons,2016,7.7,26000,11176,Rishi Kapoor,Shakun Batra,Biopic,Hindi
Velaiilla Pattadhari,2014,7.8,7400,34163,Dhanush,Velraj,Drama,Tamil
Colour Photo,2020,8.2,5500,25938,Suhas,Sandeep Raj,Romance,Telugu
Rockstar,2011,7.7,44000,9274,Ranbir Kapoor,Imtiaz Ali,Biopic,Hindi
